strain	teloname	xy	n	rho	pval	TeloMedLen	meanRT
yku70∆	TEL13L	X	520	-0.24	2e-8	138	1.52
yku70∆	TEL14L	XY'	468	-0.12	0.0076	124	1.64
yku70∆	TEL14R	XY'	622	-0.051	0.2	146	1.81
yku70∆	TEL15L	X	493	-0.2	5.9e-6	163	1.56
yku70∆	TEL15R	XY'	526	0.026	0.55	128	1.8
yku70∆	TEL16L	XY'	570	-0.042	0.32	145	1.84
yku70∆	TEL16R	XY'	333	-0.16	0.0043	124	1.57
cft19∆	TEL01L	X	352	0.1	0.052	256	1.04
cft19∆	TEL01R	XY'	347	-0.096	0.075	255	1.05
cft19∆	TEL02L	XY'	313	-0.16	0.005	319	1.38
cft19∆	TEL02R	XY'	348	-0.019	0.72	336	1.13
cft19∆	TEL03L	X	341	-0.052	0.34	359	1.04
cft19∆	TEL03R	XY'	344	-0.016	0.76	309	1.09
cft19∆	TEL04L	X	362	-0.03	0.57	274	1.04
cft19∆	TEL04R	XY'	345	-0.034	0.53	265	1.04
cft19∆	TEL05L	XY'	350	-0.018	0.74	314	1.13
cft19∆	TEL05R	XY'	391	-0.12	0.014	330	1.34
cft19∆	TEL06L	XY'	316	-0.11	0.056	288	1.05
cft19∆	TEL06R	X	413	0.1	0.04	270	1.06
cft19∆	TEL07L	X	384	0.023	0.66	289	1.01
cft19∆	TEL07R	XY'	364	-0.073	0.16	296	1.25
cft19∆	TEL08L	XY'	368	0.041	0.44	290	1.16
cft19∆	TEL08R	X	372	-0.022	0.68	267	1.04
cft19∆	TEL09L	XY'	323	-0.029	0.61	321	1.24
cft19∆	TEL09R	X	342	-0.03	0.59	375	1.16
cft19∆	TEL10L	XY'	339	-0.06	0.27	322	1.17
cft19∆	TEL10R	X	412	-0.036	0.46	274	1
cft19∆	TEL11L	X	356	0.02	0.71	264	0.997
cft19∆	TEL11R	X	386	0.081	0.11	237	1.03
cft19∆	TEL12L	XY'	391	-0.044	0.39	288	1.15
cft19∆	TEL12R	XY'	303	-0.056	0.33	261	1.24
cft19∆	TEL13L	X	355	0.094	0.076	328	1.14
cft19∆	TEL13R	XY'	350	0.044	0.41	303	1.5
cft19∆	TEL14L	XY'	336	0.047	0.39	266	1.03
cft19∆	TEL14R	XY'	396	-0.25	7.1e-7	298	1.27
cft19∆	TEL15L	X	334	-0.036	0.51	304	1.04
cft19∆	TEL15R	XY'	359	-0.064	0.23	335	1.17
cft19∆	TEL16L	XY'	350	-0.092	0.085	296	1.31
cft19∆	TEL16R	XY'	304	0.0091	0.87	273	1.14
fkh1∆	TEL01L	X	328	0.06	0.28	290	1.06
fkh1∆	TEL01R	XY'	276	-0.022	0.71	256	1.04
fkh1∆	TEL02L	XY'	320	-0.2	4.3e-4	326	1.38
fkh1∆	TEL02R	XY'	317	-0.078	0.17	263	1.09
fkh1∆	TEL03L	X	252	0.052	0.41	337	0.992
fkh1∆	TEL03R	XY'	286	-0.089	0.13	282	1.09
fkh1∆	TEL04L	X	366	0.11	0.04	286	1.04
fkh1∆	TEL04R	XY'	300	0.06	0.3	267	1.07
fkh1∆	TEL05L	XY'	328	-0.048	0.39	314	1.06
fkh1∆	TEL05R	XY'	305	-0.13	0.029	288	1.33
fkh1∆	TEL06L	XY'	311	0.01	0.86	278	1.03
fkh1∆	TEL06R	X	348	0.091	0.089	295	1.13
fkh1∆	TEL07L	X	350	0.085	0.11	292	1.03
fkh1∆	TEL07R	XY'	294	-0.11	0.054	289	1.13
fkh1∆	TEL08L	XY'	297	-0.07	0.23	299	1.1
fkh1∆	TEL08R	X	376	0.071	0.17	270	1.08
fkh1∆	TEL09L	XY'	308	-0.14	0.011	317	1.16
fkh1∆	TEL09R	X	294	-0.058	0.32	370	1.06
fkh1∆	TEL10L	XY'	290	-0.063	0.29	302	1.07
fkh1∆	TEL10R	X	367	0.091	0.08	271	1.03
fkh1∆	TEL11L	X	362	0.017	0.75	264	1.07
fkh1∆	TEL11R	X	370	0.041	0.44	242	1.09
fkh1∆	TEL12L	XY'	317	-0.011	0.85	289	1.08
fkh1∆	TEL12R	XY'	288	-0.11	0.075	258	1.1
fkh1∆	TEL13L	X	327	0.049	0.37	283	1.05
fkh1∆	TEL13R	XY'	348	-0.053	0.32	291	1.4
fkh1∆	TEL14L	XY'	388	-0.013	0.8	280	1.04
fkh1∆	TEL14R	XY'	326	-0.16	0.0044	296	1.22
fkh1∆	TEL15L	X	333	0.035	0.53	350	1.02
fkh1∆	TEL15R	XY'	321	-0.21	1.6e-4	292	1.13
fkh1∆	TEL16L	XY'	313	-0.026	0.64	285	1.19
fkh1∆	TEL16R	XY'	303	0.079	0.17	271	1.03
